accountid1,New_subfoundtypeId,New_name,New_Description
ece0126a-1ac5-e111-8421-00155d001800,bda2ed92-5bbc-e111-a661-00155d001800,Multiple donors,"A fund which has been created with the collaboration of different donors (foundations, other types of funders, or individuals)"
e2cb1a06-d10d-e511-b56b-00155d331923,bda2ed92-5bbc-e111-a661-00155d001800,Multiple donors,"A fund which has been created with the collaboration of different donors (foundations, other types of funders, or individuals)"
4428e530-53b6-dd11-b898-00188b804fcd,bda2ed92-5bbc-e111-a661-00155d001800,Multiple donors,"A fund which has been created with the collaboration of different donors (foundations, other types of funders, or individuals)"
04a54f24-3602-e211-ab02-00155d001608,217c66ef-2501-e411-8ef0-00155d331718,Endowed,"An organisation which owns a financial asset donation made in the form of investment funds or other property that has a stated purpose at the bequest of the donor. Most endowments are designed to keep the principal amount intact while using the investment income from dividends for charitable efforts. Endowments provide ongoing benefits by earning a market rate of interest while keeping the core endowment principal intact to fund future years of scholarships, or whatever efforts the donor sought to fund. In some cases, a certain percentage of the assets are allowed to be used each year, so the amount pulled out of the endowment could be a combination of interest income and principal. The ratio of principal to income would change year to year based on prevailing market rates."
2d44c330-3887-e211-adea-00155d001608,217c66ef-2501-e411-8ef0-00155d331718,Endowed,"An organisation which owns a financial asset donation made in the form of investment funds or other property that has a stated purpose at the bequest of the donor. Most endowments are designed to keep the principal amount intact while using the investment income from dividends for charitable efforts. Endowments provide ongoing benefits by earning a market rate of interest while keeping the core endowment principal intact to fund future years of scholarships, or whatever efforts the donor sought to fund. In some cases, a certain percentage of the assets are allowed to be used each year, so the amount pulled out of the endowment could be a combination of interest income and principal. The ratio of principal to income would change year to year based on prevailing market rates."
610a9dcc-1fb7-e211-b548-00155d001608,217c66ef-2501-e411-8ef0-00155d331718,Endowed,"An organisation which owns a financial asset donation made in the form of investment funds or other property that has a stated purpose at the bequest of the donor. Most endowments are designed to keep the principal amount intact while using the investment income from dividends for charitable efforts. Endowments provide ongoing benefits by earning a market rate of interest while keeping the core endowment principal intact to fund future years of scholarships, or whatever efforts the donor sought to fund. In some cases, a certain percentage of the assets are allowed to be used each year, so the amount pulled out of the endowment could be a combination of interest income and principal. The ratio of principal to income would change year to year based on prevailing market rates."
5232c1d6-33cc-e211-b8c9-00155d001608,217c66ef-2501-e411-8ef0-00155d331718,Endowed,"An organisation which owns a financial asset donation made in the form of investment funds or other property that has a stated purpose at the bequest of the donor. Most endowments are designed to keep the principal amount intact while using the investment income from dividends for charitable efforts. Endowments provide ongoing benefits by earning a market rate of interest while keeping the core endowment principal intact to fund future years of scholarships, or whatever efforts the donor sought to fund. In some cases, a certain percentage of the assets are allowed to be used each year, so the amount pulled out of the endowment could be a combination of interest income and principal. The ratio of principal to income would change year to year based on prevailing market rates."
50be3687-3321-e311-bf0f-00155d001608,217c66ef-2501-e411-8ef0-00155d331718,Endowed,"An organisation which owns a financial asset donation made in the form of investment funds or other property that has a stated purpose at the bequest of the donor. Most endowments are designed to keep the principal amount intact while using the investment income from dividends for charitable efforts. Endowments provide ongoing benefits by earning a market rate of interest while keeping the core endowment principal intact to fund future years of scholarships, or whatever efforts the donor sought to fund. In some cases, a certain percentage of the assets are allowed to be used each year, so the amount pulled out of the endowment could be a combination of interest income and principal. The ratio of principal to income would change year to year based on prevailing market rates."
53973bb1-ec86-e511-8897-00155d33171d,217c66ef-2501-e411-8ef0-00155d331718,Endowed,"An organisation which owns a financial asset donation made in the form of investment funds or other property that has a stated purpose at the bequest of the donor. Most endowments are designed to keep the principal amount intact while using the investment income from dividends for charitable efforts. Endowments provide ongoing benefits by earning a market rate of interest while keeping the core endowment principal intact to fund future years of scholarships, or whatever efforts the donor sought to fund. In some cases, a certain percentage of the assets are allowed to be used each year, so the amount pulled out of the endowment could be a combination of interest income and principal. The ratio of principal to income would change year to year based on prevailing market rates."
b3a1356f-56b6-dd11-b898-00188b804fcd,217c66ef-2501-e411-8ef0-00155d331718,Endowed,"An organisation which owns a financial asset donation made in the form of investment funds or other property that has a stated purpose at the bequest of the donor. Most endowments are designed to keep the principal amount intact while using the investment income from dividends for charitable efforts. Endowments provide ongoing benefits by earning a market rate of interest while keeping the core endowment principal intact to fund future years of scholarships, or whatever efforts the donor sought to fund. In some cases, a certain percentage of the assets are allowed to be used each year, so the amount pulled out of the endowment could be a combination of interest income and principal. The ratio of principal to income would change year to year based on prevailing market rates."
